ingredient_name,name_fr,category,country_code,fr_reference_price_eur_per_100g,price_per_100g,currency,package_size,package_unit,notes
Green cabbage,Chou vert,,US,,,USD,,,
Ground coriander,Coriandre moulue,spice,CA,3.906,,CAD,,,
Ground coriander,Coriandre moulue,spice,GB,3.906,,GBP,,,
Ground coriander,Coriandre moulue,spice,US,3.906,,USD,,,
Ground meat,Viande hachée,protein,CA,,,CAD,,,
Ground meat,Viande hachée,protein,GB,,,GBP,,,
Ground meat,Viande hachée,protein,US,,,USD,,,
Ground nutmeg,Muscade moulue,spice,CA,,,CAD,,,
Ground nutmeg,Muscade moulue,spice,GB,,,GBP,,,
Ground nutmeg,Muscade moulue,spice,US,,,USD,,,
Harissa,Harissa,condiment,CA,0.564,,CAD,,,
Harissa,Harissa,condiment,GB,0.564,,GBP,,,
Harissa,Harissa,condiment,US,0.564,,USD,,,
Honey,Miel,condiment,CA,0.796,,CAD,,,
Honey,Miel,condiment,GB,0.796,,GBP,,,
Honey,Miel,condiment,US,0.796,,USD,,,
Kale Sukuma,Chou frisé (Sukuma),vegetable,CA,,,CAD,,,
Kale Sukuma,Chou frisé (Sukuma),vegetable,GB,,,GBP,,,
Kale Sukuma,Chou frisé (Sukuma),vegetable,US,,,USD,,,
Lamb,Agneau,protein,CA,3.625,,CAD,,,
Lamb,Agneau,protein,GB,3.625,,GBP,,,
Lamb,Agneau,protein,US,3.625,,USD,,,
Large chili,Gros piment,vegetable,CA,2.089,,CAD,,,
Large chili,Gros piment,vegetable,GB,2.089,,GBP,,,
Large chili,Gros piment,vegetable,US,2.089,,USD,,,
Lemon,Citron,fruit,CA,,,CAD,,,
Lemon,Citron,fruit,GB,,,GBP,,,
Lemon,Citron,fruit,US,,,USD,,,
Lemon juice,Jus de citron,condiment,CA,,,CAD,,,
Lemon juice,Jus de citron,condiment,GB,,,GBP,,,
Lemon juice,Jus de citron,condiment,US,,,USD,,,
Long grain rice,Riz long grain,starch,CA,0.168,,CAD,,,
Long grain rice,Riz long grain,starch,GB,0.168,,GBP,,,
Long grain rice,Riz long grain,starch,US,0.168,,USD,,,
Merguez sausage,Merguez (viande),protein,CA,1.512,,CAD,,,
Merguez sausage,Merguez (viande),protein,GB,1.512,,GBP,,,
Merguez sausage,Merguez (viande),protein,US,1.512,,USD,,,
Milk,Lait,dairy,CA,0.115,,CAD,,,
Milk,Lait,dairy,GB,0.115,,GBP,,,
Milk,Lait,dairy,US,0.115,,USD,,,
Millet grains,Grains de mil,starch,CA,,,CAD,,,
Millet grains,Grains de mil,starch,GB,,,GBP,,,
Millet grains,Grains de mil,starch,US,,,USD,,,
Natural casings,Boyaux naturels,protein,CA,,,CAD,,,
